,DEMREL02,DEMID01,DEMSN01,RELPCG02,RELOCG02,SIBIND02,CH02PRWT,PCGRES02,OCGRES02,ASMRES02,CHRES02,TDRES02,CCDRES02,EMSRES02,IWER02,SBLNUM03,SBLNUM01,BIOPR03,BIOPR01,BIOGPR03,BIOGPR01,PCGEMS02
2728,6,6859,2,1,0,5,4.507,1,0,1,1,1,1,0,2060,0,0,2,2,2,2,0
2729,6,6860,2,1,0,1,14.325,1,0,1,1,1,1,5,2014,1,1,2,2,2,2,1
2730,6,6860,3,1,0,1,14.422,1,0,1,1,1,1,5,2014,1,1,2,2,2,2,1
2731,6,6861,4,1,4,1,16.624,1,1,1,1,1,1,0,2037,2,2,1,1,0,0,0
2732,6,6861,5,1,4,1,16.472,1,1,1,1,1,1,0,2037,2,2,1,1,0,0,0
2733,6,6865,2,1,0,5,13.579,1,0,5,5,5,5,0,2006,2,2,2,2,0,0,5
2734,6,6866,4,1,4,5,22.884,1,1,1,1,1,0,0,2029,1,1,1,1,2,2,0
2735,6,6869,3,4,0,1,11.103,1,0,1,1,1,1,0,2028,1,1,3,3,2,2,0
2736,6,6869,4,4,0,1,11.855,1,0,1,1,1,1,0,2028,1,1,3,3,2,2,0
2737,6,6872,3,1,4,5,16.35,1,5,1,1,5,0,0,2059,0,0,1,1,0,0,0
2738,6,6879,2,1,0,1,14.144,1,0,1,1,1,1,0,2069,1,1,2,2,2,2,0
2739,6,6879,3,1,0,1,11.731,1,0,1,0,1,1,0,2069,1,1,2,2,2,2,5
2740,6,6880,2,1,0,1,22.781,1,0,1,1,1,1,0,2035,1,1,2,2,2,2,0
2741,6,6880,3,1,0,1,16.514,1,0,1,1,1,1,0,2035,1,1,2,2,2,2,0
2742,6,6882,3,1,4,1,32.034,1,1,1,1,1,1,0,2077,2,2,1,1,2,2,0
2743,6,6882,5,1,4,1,31.076,1,1,1,1,1,1,1,2077,2,2,1,1,2,2,1
2744,6,6886,3,1,4,5,3.684,1,5,1,1,5,1,5,2064,1,1,1,1,2,2,1
2745,6,6889,2,1,0,1,2.982,1,0,5,5,5,5,0,2049,2,2,2,2,2,0,5
2746,6,6889,3,1,0,1,2.928,1,0,5,5,5,5,0,2049,2,2,2,2,2,0,5
